	Category_1	Category_2	Category_3	Category_4
Karosserie_Montage-->Klappen-->Tankklappe-->	43.0			
Karosserie_Montage-->Kofferraum_Heckklappe-->Heck-->	4.0			
Karosserie_Montage-->Kofferraum_Heckklappe-->Kotflügelbank-->	2.0			
Karosserie_Montage-->Kofferraum_Heckklappe-->Leitungssatz-->	3.0			
Karosserie_Montage-->Kofferraum_Heckklappe-->Niveausensoren-->	3.0			
Karosserie_Montage-->Kofferraum_Heckklappe-->Radhaus_vorn-->	6.0			
Karosserie_Montage-->Kofferraum_Heckklappe-->Scheibenquerträger_vorn_Stirnwand-->	2.0			
Karosserie_Montage-->Schwellerbeplankung-->-->	37.0			
Karosserie_Montage-->Stoßfänger_hinten-->-->	84.0			
Karosserie_Montage-->Stoßfänger_hinten-->Aufprallträger_AHV-->	106.0			
Karosserie_Montage-->Stoßfänger_hinten-->Längsträger_vorn-->	1.0			
Karosserie_Montage-->Stoßfänger_vorn-->-->	45.0			
Karosserie_Montage-->Stoßfänger_vorn-->Crashmanagement-->	2.0			
Karosserie_Montage-->Stoßfänger_vorn-->Scheinwerfer_Blinker-->	4.0			
Karosserie_Montage-->Stoßfänger_vorn-->cW-Verkleidungen-->	6.0			
Karosserie_Montage-->Türen-->-->	1692.0			
Karosserie_Montage-->Türen-->Heckklappe-->	1.0			
Karosserie_Montage-->Türen-->Hinten_Links-->	172.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Blenden	7.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Dichtung_aussen	24.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Dichtung_innen	6.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Fensterheber	22.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Fensterschachtleisten	5.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Griffe_Lagerbügel	8.0			
Karosserie_Montage-->Türen-->Hinten_Links-->Türschlösser_Bowdenzüge	12.0			
Karosserie_Montage-->Türen-->Hinten_Links-->aussen	8.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->	187.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Antrieb_Heckwischer	2.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Dichtung_aussen	13.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Dichtung_innen	6.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Fensterheber	23.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Fensterschachtleisten	6.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Griffe_Lagerbügel	7.0			
